country,population,life_expect,fertility,fertility_adol,mortal_5,mobile_phones,migration,electricity,gdp,inflation,pop_growth,surface_area,unemployment_rate
Bhutan,772506.0,71.61,1.43,19.24,27.5,96.46,291.0,100.0,2878.44,5.63,0.66,38390.0,5.03
Bolivia,11936162.0,64.47,2.65,64.38,25.6,98.9,-4666.0,97.55,2920.2,0.94,1.34,1098580.0,7.9
Bosnia and Herzegovina,3318407.0,76.23,1.36,10.05,5.7,105.76,-26857.0,100.0,5373.17,-1.05,-1.27,51210.0,15.27
Botswana,2546402.0,65.65,2.84,50.08,36.3,150.39,1816.0,71.99,5810.95,1.89,1.85,581730.0,21.02
Brazil,213196304.0,74.01,1.65,46.3,14.7,96.55,56880.0,100.0,8204.2,3.21,0.67,8515770.0,13.93
Brunei Darussalam,441725.0,74.8,1.8,10.03,11.5,121.48,-395.0,100.0,30402.09,1.94,0.84,5770.0,7.41
Bulgaria,6934015.0,73.61,1.56,39.22,6.5,113.85,-9902.0,99.7,7956.47,1.67,-0.6,111000.0,5.12
Burkina Faso,21522626.0,59.73,4.87,112.23,85.4,102.76,-5665.0,18.96,710.47,1.88,2.69,274220.0,5.05
Burundi,12220227.0,61.57,5.18,54.36,54.6,54.26,-10186.0,11.74,263.36,7.32,2.87,27830.0,1.03
Cabo Verde,582640.0,74.81,1.91,55.95,14.2,93.49,-1274.0,94.16,2801.05,0.61,0.97,4030.0,14.88
Cambodia,16396860.0,70.42,2.38,46.34,25.8,128.6,-22308.0,86.4,1404.2,2.94,1.16,181040.0,0.3
Cameroon,26491087.0,60.83,4.54,111.52,72.4,84.37,-9889.0,64.72,1419.33,2.44,2.71,475440.0,3.95
Canada,38037204.0,81.75,1.4,6.99,5.1,85.41,195181.0,100.0,42258.69,0.72,1.15,9879750.0,9.46
Central African Republic,5343020.0,54.6,5.99,160.74,103.0,34.27,-24803.0,15.47,375.22,1.71,2.53,622980.0,6.38
Chad,16644701.0,52.78,6.35,141.34,110.5,52.19,9016.0,11.08,622.28,4.46,3.16,1284000.0,1.64
Chile,19300315.0,79.38,1.54,24.08,6.9,129.89,98439.0,100.0,12767.3,3.05,1.36,756700.0,11.14
China,1411100000.0,78.08,1.28,11.73,7.4,120.6,-33649.0,100.0,10358.26,2.42,0.24,9600012.9,5.0
Colombia,50930662.0,74.77,1.74,59.71,13.3,132.87,229437.0,100.0,5865.65,2.53,1.47,1140619.05,15.04
"Congo, Rep.",5702174.0,63.79,4.23,104.81,44.5,85.76,-4465.0,49.52,1586.32,1.8,2.33,342000.0,22.52
Costa Rica,5123105.0,79.28,1.56,38.02,7.9,146.64,2084.0,99.9,12058.0,0.72,0.76,51100.0,16.43
Cote d'Ivoire,26811790.0,59.03,4.47,105.89,77.3,149.54,-12301.0,69.68,2276.84,2.43,2.51,322460.0,2.66
Croatia,4047680.0,77.72,1.48,8.9,4.7,106.81,-11592.0,100.0,12920.34,0.15,-0.43,88070.0,7.51
Cyprus,1237537.0,81.39,1.33,6.9,2.8,139.64,2999.0,100.0,26814.21,-0.64,0.71,9250.0,7.59
Czechia,10697858.0,78.23,1.71,9.84,2.9,123.44,3621.0,100.0,19048.09,3.16,0.24,78871.01,2.55
Denmark,5831404.0,81.55,1.67,1.89,3.7,124.5,23076.0,100.0,55898.79,0.42,0.29,42920.0,5.64
Djibouti,1090156.0,62.69,2.85,22.78,56.0,39.81,744.0,61.77,2811.65,1.78,1.49,23200.0,28.05
Dominican Republic,10999664.0,72.89,2.3,68.28,33.7,81.73,-14966.0,100.0,7571.78,3.78,1.08,48670.0,6.13
Ecuador,17588595.0,72.15,2.05,63.94,12.9,88.04,35894.0,98.85,5331.98,-0.34,1.4,256370.0,6.11
"Egypt, Arab Rep.",107465134.0,70.99,2.96,45.67,19.6,88.73,4476.0,100.0,3836.09,5.04,1.73,1001450.0,7.94
El Salvador,6292731.0,71.06,1.82,56.83,12.8,158.1,-25214.0,100.0,3761.75,-0.37,0.2,21040.0,5.02
Equatorial Guinea,1596049.0,60.71,4.35,143.94,79.3,40.41,0.0,66.75,6030.52,4.77,2.73,28050.0,9.3
Estonia,1329522.0,78.35,1.58,8.83,2.1,144.86,2995.0,100.0,20118.11,-0.44,0.2,45340.0,6.96
Ethiopia,117190911.0,65.37,4.24,70.64,48.7,37.97,38867.0,51.09,811.26,20.36,2.65,1136239.54,4.13
Fiji,920422.0,67.92,2.5,27.1,27.5,107.72,-6003.0,100.0,4703.58,-2.6,0.21,18270.0,4.79
Finland,5529543.0,82.13,1.37,4.09,2.2,128.76,17482.0,100.0,45053.76,0.29,0.14,338460.0,7.76
France,67571107.0,82.18,1.83,9.41,4.4,112.83,18335.0,100.0,35712.08,0.48,0.27,549086.87,8.01
Gabon,2292573.0,66.53,3.55,92.63,41.0,133.02,1514.0,91.57,6619.69,1.18,2.2,267670.0,21.73
"Gambia, The",2573995.0,62.61,4.78,63.94,49.6,104.04,-1960.0,62.27,655.58,5.93,2.56,11300.0,5.1
Georgia,3722716.0,72.77,1.97,29.08,9.6,135.43,-2734.0,100.0,4447.66,5.2,0.07,69700.0,11.73
Germany,83160871.0,80.94,1.53,7.42,3.6,128.89,334055.0,100.0,41650.42,0.51,0.08,357590.0,3.86
Ghana,32180401.0,64.11,3.62,65.15,45.5,125.73,-297.0,85.87,1951.09,9.89,2.07,238530.0,3.77
Greece,10698599.0,81.09,1.34,8.42,3.9,108.57,-17853.0,100.0,17343.61,-1.25,-0.21,131960.0,16.31
Guatemala,16858333.0,71.8,2.48,66.85,23.8,117.44,-23142.0,97.06,4124.7,3.21,1.52,108890.0,3.36
Guinea,13205153.0,59.33,4.49,117.14,101.6,104.47,-4364.0,44.67,959.43,10.6,2.51,245860.0,5.95
Guinea-Bissau,2015828.0,60.0,4.09,88.92,77.0,94.94,-1394.0,33.34,604.6,1.14,2.28,36130.0,3.61
Guyana,797202.0,68.49,2.42,67.8,28.5,107.38,802.0,92.54,9126.81,0.99,-0.19,214970.0,15.59
Haiti,11306801.0,64.05,2.87,53.64,60.5,64.73,-33872.0,46.93,1322.81,22.8,1.3,27750.0,15.09
Honduras,10121763.0,71.46,2.39,72.87,17.1,68.77,-6199.0,93.21,2190.97,3.47,1.62,112490.0,10.68
Hungary,9750149.0,75.62,1.56,22.29,4.0,105.97,9042.0,100.0,14427.82,3.33,-0.22,93030.0,4.25
Iceland,366463.0,83.07,1.72,5.51,2.7,114.92,2573.0,100.0,52983.81,2.85,1.62,103000.0,5.48
India,1396387127.0,70.15,2.05,17.28,32.4,82.62,-34772.0,99.0,1796.49,6.62,0.96,3287260.0,10.19
Indonesia,271857970.0,68.81,2.19,34.49,22.9,130.81,-24999.0,96.95,3780.14,1.92,0.84,1916906.77,4.25
"Iran, Islamic Rep.",87290193.0,74.83,1.71,30.78,13.0,146.21,-156669.0,100.0,5141.08,30.59,0.84,1745150.0,9.69
Iraq,42556984.0,69.12,3.55,63.66,25.4,88.06,71539.0,100.0,4204.18,0.57,2.36,435052.0,16.23
Ireland,4985382.0,82.2,1.63,5.87,3.2,105.82,15320.0,100.0,79074.54,-0.33,1.03,70280.0,5.62
Israel,9215100.0,82.7,2.9,7.58,3.4,140.11,16569.0,100.0,38176.75,-0.59,1.76,22070.0,4.33
Italy,59438851.0,82.34,1.24,3.88,2.8,130.39,28021.0,100.0,29353.82,-0.14,-0.49,302068.0,9.16
Jamaica,2820436.0,71.87,1.36,33.31,12.8,101.87,0.0,100.0,4765.47,5.23,0.24,10990.0,6.5
Japan,126261000.0,84.62,1.34,2.89,2.4,155.74,87584.0,100.0,34556.44,-0.02,-0.29,377974.0,2.8
Jordan,10928721.0,75.18,2.87,25.81,15.0,63.94,18092.0,99.9,3773.42,0.33,2.13,89318.0,19.21
Kazakhstan,18755666.0,71.37,3.13,22.88,10.2,128.0,-12432.0,100.0,10974.25,6.75,1.3,2724900.0,4.89
Kenya,51985780.0,62.68,3.4,64.94,38.6,118.13,-17106.0,71.44,1616.87,5.4,2.01,580370.0,5.62
"Korea, Rep.",51836239.0,83.43,0.84,2.37,3.0,136.01,0.0,100.0,31372.47,0.54,0.14,100410.0,3.93
Kuwait,4360444.0,76.92,2.14,5.93,8.8,155.27,-254177.0,100.0,23925.67,2.1,-1.83,17820.0,3.33
Kyrgyz Republic,6579900.0,71.8,3.0,36.05,17.8,132.47,-14307.0,99.98,1102.66,6.33,1.9,199950.0,4.63
Lao PDR,7319399.0,68.5,2.54,74.57,44.1,63.35,-10303.0,100.0,2539.12,5.1,1.48,236800.0,3.58
Latvia,1900449.0,75.39,1.55,11.2,3.8,108.13,-7381.0,100.0,15826.41,0.22,-0.7,64590.0,8.1
Lebanon,5662923.0,77.8,2.1,20.49,8.5,75.72,-115146.0,100.0,6473.1,84.86,-2.08,10450.0,12.97
Lesotho,2254100.0,54.69,3.05,89.73,75.5,69.32,-1490.0,47.35,972.42,4.98,1.27,30360.0,18.46
Lithuania,2794885.0,74.93,1.48,10.37,3.5,130.2,-12625.0,100.0,17241.35,1.2,0.03,65290.0,8.49
Luxembourg,630419.0,81.74,1.37,4.3,2.8,141.18,6952.0,100.0,104128.24,0.82,1.67,2590.0,6.77
North Macedonia,2072531.0,75.69,1.3,16.1,5.9,88.21,-486.0,100.0,5067.21,1.2,-0.2,25710.0,16.55
Madagascar,28225177.0,65.18,3.92,121.32,66.1,56.22,-742.0,33.74,433.84,4.2,2.48,587295.0,2.36
Malawi,19377061.0,63.72,4.0,119.48,43.5,51.63,-1775.0,14.87,388.98,8.63,2.67,118480.0,5.68
Malaysia,33199993.0,75.94,1.82,9.32,7.7,131.7,57483.0,100.0,10374.19,-1.14,1.2,330241.0,4.54
Maldives,514438.0,79.88,1.71,7.62,6.4,139.51,1134.0,100.0,7013.57,-1.37,1.95,300.0,5.34
Mali,21224040.0,58.63,6.04,152.16,100.1,119.28,-14978.0,50.56,745.89,0.44,3.14,1240190.0,3.53
Malta,515332.0,82.65,1.13,11.43,6.0,122.85,10854.0,100.0,25444.34,0.64,2.21,320.0,4.35
Mauritania,4498604.0,64.53,4.46,78.86,41.8,109.65,-1494.0,47.35,1612.15,2.39,2.58,1030700.0,11.14
Mauritius,1265740.0,74.18,1.44,24.55,16.3,147.39,-478.0,99.66,9359.34,2.58,0.0,2040.0,8.63
Mexico,125998302.0,70.13,1.91,57.87,13.7,97.54,-9949.0,99.4,9147.05,3.4,0.73,1964375.0,4.45
Moldova,2635130.0,70.17,1.77,27.35,14.5,110.88,-14278.0,100.0,3217.97,3.77,-1.1,33850.0,3.82
Mongolia,3294335.0,72.14,2.9,27.77,15.4,132.47,0.0,98.1,4106.6,3.8,1.9,1564115.75,6.59
Montenegro,621306.0,75.93,1.75,10.38,2.5,171.7,-1326.0,100.0,6515.51,-0.26,-0.12,13810.0,17.88
Morocco,36688772.0,73.92,2.35,26.45,18.7,133.89,-33807.0,100.0,3081.38,0.71,1.05,446550.0,11.11
Mozambique,31178239.0,61.17,4.71,168.07,71.6,49.6,11745.0,30.6,576.02,3.14,2.9,799380.0,3.78
Namibia,2489098.0,62.83,3.35,65.67,40.3,116.43,-4301.0,56.26,4155.13,2.21,1.72,824290.0,21.24
Nepal,29348627.0,69.25,2.06,64.94,28.2,130.2,306664.0,89.9,1018.11,5.05,1.77,147180.0,13.08
Netherlands,17441500.0,81.41,1.55,2.61,4.1,122.83,58816.0,100.0,46303.22,1.27,0.56,41540.0,3.82
New Zealand,5090200.0,82.06,1.61,12.85,4.8,123.21,38220.0,100.0,39216.22,1.71,2.2,267710.0,4.6
Nicaragua,6755895.0,71.8,2.35,87.36,14.0,88.25,-10384.0,88.91,1886.51,3.68,1.37,130370.0,5.94
Niger,24333639.0,61.45,6.89,172.93,116.3,58.52,-4403.0,19.25,519.68,2.9,3.73,1267000.0,0.68
Nigeria,208327405.0,52.89,5.31,102.22,113.8,98.03,-4824.0,55.4,2401.18,13.25,2.44,923770.0,6.0
Norway,5379475.0,83.21,1.48,2.31,2.3,108.29,10756.0,100.0,75017.16,1.29,0.59,624499.0,4.42
Oman,4543399.0,74.76,2.69,10.31,10.4,140.07,-164408.0,100.0,17662.24,-0.9,-1.3,309500.0,2.94
Pakistan,227196741.0,66.27,3.56,43.21,65.5,77.3,-588736.0,75.38,1409.7,9.74,1.73,796100.0,6.55
Panama,4294396.0,76.66,2.34,70.84,14.4,142.25,5473.0,96.7,12230.04,-1.55,1.45,75320.0,14.11
Papua New Guinea,9749640.0,65.79,3.27,56.42,44.2,49.42,10695.0,60.4,2455.16,4.87,2.15,462840.0,2.69
Paraguay,6618695.0,73.18,2.5,71.3,18.7,118.83,-8230.0,100.0,6095.39,1.77,1.35,406752.0,7.55
Peru,33304756.0,73.67,2.22,58.05,14.5,118.18,79456.0,99.31,5749.02,2.0,1.45,1285220.0,7.18
Philippines,112190977.0,72.12,2.78,49.16,26.5,133.33,-41937.0,96.84,3195.54,2.39,1.63,300000.0,2.52
Poland,37899070.0,76.6,1.38,9.74,4.4,128.42,-779.0,100.0,14774.99,3.37,-0.18,312710.0,3.16
Portugal,10297081.0,80.98,1.4,7.6,3.3,115.08,40535.0,100.0,19802.23,-0.01,0.11,92230.0,6.8
